delivered_msgs,dropped_msgs,node_pub,node_sub,period_max_nsecs,period_max_secs,period_mean_nsecs,period_mean_secs,period_stddev_nsecs,period_stddev_secs,stamp_age_max_nsecs,stamp_age_max_secs,stamp_age_mean_nsecs,stamp_age_mean_secs,stamp_age_stddev_nsecs,stamp_age_stddev_secs,topic,traffic,window_start_nsecs,window_start_secs,window_stop_nsecs,window_stop_secs
8,0,"/play_1540909411885866854","/record_1540909518224808168",179459351,0,153805814,0,16286541,0,0,0,0,0,0,0,"/husky2/octomap_full",5215006,598675810,1540909518,675306909,1540909519
8,0,"/play_1540909411885866854","/record_1540909518224808168",172057663,0,162116221,0,5098627,0,0,0,0,0,0,0,"/vision_tracking/rgb_image1",6064456,586263019,1540909518,721058126,1540909519
8,0,"/play_1540909411885866854","/record_1540909518224808168",166730012,0,162954048,0,4511809,0,0,0,0,0,0,0,"/rgbdt_fusion/human_center_cloud2_husky2",760,619086510,1540909518,759744736,1540909519
8,0,"/play_1540909411885866854","/record_1540909518224808168",166728394,0,162959874,0,4508309,0,0,0,0,0,0,0,"/rgbdt_fusion/velodyne_points_no_human2",1513840,619198176,1540909518,759910149,1540909519
8,0,"/play_1540909411885866854","/record_1540909518224808168",170980201,0,164314517,0,4578614,0,0,0,0,0,0,0,"/vision_tracking/rgb_image",6064456,527925553,1540909519,678116189,1540909520
7,0,"/play_1540909411885866854","/record_1540909518224808168",176991653,0,157385373,0,11821808,0,0,0,0,0,0,0,"/husky2/octomap_full",4930044,675306909,1540909519,814045765,1540909520
7,0,"/play_1540909411885866854","/record_1540909518224808168",164010443,0,161922162,0,1327529,0,0,0,0,0,0,0,"/vision_tracking/rgb_image1",5306399,721058126,1540909519,853956756,1540909520
8,0,"/play_1540909411885866854","/record_1540909518224808168",175573846,0,164131151,0,5587639,0,0,0,0,0,0,0,"/rgbdt_fusion/human_center_cloud2",760,725875940,1540909519,874782102,1540909520
8,0,"/play_1540909411885866854","/record_1540909518224808168",175565687,0,164150117,0,5570316,0,0,0,0,0,0,0,"/rgbdt_fusion/velodyne_points_no_human",1440016,725955426,1540909519,874986945,1540909520
7,0,"/play_1540909411885866854","/record_1540909518224808168",173569962,0,160460505,0,7428795,0,0,0,0,0,0,0,"/rgbdt_fusion/human_center_cloud2_husky2",665,759744736,1540909519,882394138,1540909520
7,0,"/play_1540909411885866854","/record_1540909518224808168",171227584,0,160753653,0,6530275,0,0,0,0,0,0,0,"/rgbdt_fusion/velodyne_points_no_human2",1325652,759910149,1540909519,882498334,1540909520
7,0,"/play_1540909411885866854","/record_1540909518224808168",179095783,0,162615257,0,8083965,0,0,0,0,0,0,0,"/vision_tracking/rgb_image",5306399,678116189,1540909520,820355823,1540909521
3,0,"/play_1540909411885866854","/record_1540909518224808168",756027602,0,711338148,0,44689450,0,0,0,0,0,0,0,"/husky1/octomap_full",11252611,414693791,1540909520,837358943,1540909521
6,0,"/play_1540909411885866854","/record_1540909518224808168",212739842,0,173658969,0,21870244,0,0,0,0,0,0,0,"/husky2/octomap_full",4449112,814045765,1540909520,848578217,1540909521
7,0,"/play_1540909411885866854","/record_1540909518224808168",179535900,0,163370194,0,7945659,0,0,0,0,0,0,0,"/vision_tracking/rgb_image1",5306399,853956756,1540909520,994463295,1540909521
7,0,"/play_1540909411885866854","/record_1540909518224808168",175372925,0,161198266,0,8324522,0,0,0,0,0,0,0,"/rgbdt_fusion/human_center_cloud2",665,874782102,1540909520,15750181,1540909522
7,0,"/play_1540909411885866854","/record_1540909518224808168",175410286,0,161202894,0,8345597,0,0,0,0,0,0,0,"/rgbdt_fusion/velodyne_points_no_human",1256788,874986945,1540909520,15859323,1540909522
7,0,"/play_1540909411885866854","/record_1540909518224808168",175418437,0,164102407,0,6023025,0,0,0,0,0,0,0,"/rgbdt_fusion/human_center_cloud2_husky2",665,882394138,1540909520,33212469,1540909522
7,0,"/play_1540909411885866854","/record_1540909518224808168",175551610,0,164151679,0,6072849,0,0,0,0,0,0,0,"/rgbdt_fusion/velodyne_points_no_human2",1330052,882498334,1540909520,33657531,1540909522
7,0,"/play_1540909411885866854","/record_1540909518224808168",166820290,0,162037248,0,4485402,0,0,0,0,0,0,0,"/vision_tracking/rgb_image",5306399,820355823,1540909521,949074062,1540909522
6,0,"/play_1540909411885866854","/record_1540909518224808168",333859145,0,169590710,0,95656782,0,0,0,0,0,0,0,"/rgbdt_fusion/human_center_cloud2_husky2",570,33212469,1540909522,41976575,1540909523
6,0,"/play_1540909411885866854","/record_1540909518224808168",333726522,0,169614273,0,95531425,0,0,0,0,0,0,0,"/rgbdt_fusion/velodyne_points_no_human2",1142520,33657531,1540909522,42413656,1540909523
7,0,"/play_1540909411885866854","/record_1540909518224808168",172147900,0,162224633,0,8036945,0,0,0,0,0,0,0,"/rgbdt_fusion/human_center_cloud2",665,15750181,1540909522,148609412,1540909523
7,0,"/play_1540909411885866854","/record_1540909518224808168",172261680,0,162245455,0,8080697,0,0,0,0,0,0,0,"/rgbdt_fusion/velodyne_points_no_human",1259236,15859323,1540909522,148806327,1540909523
7,0,"/play_1540909411885866854","/record_1540909518224808168",181641181,0,165703225,0,7335768,0,0,0,0,0,0,0,"/vision_tracking/rgb_image1",5306399,994463295,1540909521,149198126,1540909523
7,0,"/play_1540909411885866854","/record_1540909518224808168",435272346,0,205036877,0,103822478,0,0,0,0,0,0,0,"/husky2/octomap_full",5343764,848578217,1540909521,201765207,1540909523
2,0,"/play_1540909411885866854","/record_1540909518224808168",831239003,0,831239003,0,0,0,0,0,0,0,0,0,"/husky1/octomap_full",10298519,837358943,1540909521,466741763,1540909523
7,0,"/play_1540909411885866854","/record_1540909518224808168",169066519,0,160897307,0,6590447,0,0,0,0,0,0,0,"/vision_tracking/rgb_image",5306399,949074062,1540909522,77003250,1540909524
7,0,"/play_1540909411885866854","/record_1540909518224808168",171728415,0,162075692,0,7567066,0,0,0,0,0,0,0,"/rgbdt_fusion/human_center_cloud2_husky2",665,41976575,1540909523,141781814,1540909524
7,0,"/play_1540909411885866854","/record_1540909518224808168",171881121,0,162079772,0,7623275,0,0,0,0,0,0,0,"/rgbdt_fusion/velodyne_points_no_human2",1330004,42413656,1540909523,141892955,1540909524
8,0,"/play_1540909411885866854","/record_1540909518224808168",185382907,0,133578995,0,27252420,0,0,0,0,0,0,0,"/husky2/octomap_full",5987966,201765207,1540909523,246418607,1540909524
7,0,"/play_1540909411885866854","/record_1540909518224808168",175345863,0,160655536,0,8683749,0,0,0,0,0,0,0,"/rgbdt_fusion/human_center_cloud2",665,148609412,1540909523,278833140,1540909524
7,0,"/play_1540909411885866854","/record_1540909518224808168",175385938,0,160658569,0,8699827,0,0,0,0,0,0,0,"/rgbdt_fusion/velodyne_points_no_human",1257284,148806327,1540909523,278928979,1540909524
7,0,"/play_1540909411885866854","/record_1540909518224808168",174056345,0,163621941,0,7006152,0,0,0,0,0,0,0,"/vision_tracking/rgb_image1",5306399,149198126,1540909523,279390186,1540909524
2,0,"/play_1540909411885866854","/record_1540909518224808168",816535421,0,816535421,0,0,0,0,0,0,0,0,0,"/husky1/octomap_full",12215899,466741763,1540909523,14124792,1540909525
7,0,"/play_1540909411885866854","/record_1540909518224808168",164815013,0,160590488,0,2949463,0,0,0,0,0,0,0,"/vision_tracking/rgb_image",5306399,77003250,1540909524,205109177,1540909525
6,0,"/play_1540909411885866854","/record_1540909518224808168",190586566,0,159967497,0,25820356,0,0,0,0,0,0,0,"/husky2/octomap_full",4402342,246418607,1540909524,266747079,1540909525
7,0,"/play_1540909411885866854","/record_1540909518224808168",177618659,0,162170995,0,9495402,0,0,0,0,0,0,0,"/rgbdt_fusion/human_center_cloud2_husky2",665,141781814,1540909524,281406425,1540909525
7,0,"/play_1540909411885866854","/record_1540909518224808168",177619337,0,162171807,0,9492751,0,0,0,0,0,0,0,"/rgbdt_fusion/velodyne_points_no_human2",1327876,141892955,1540909524,281499082,1540909525
7,0,"/play_1540909411885866854","/record_1540909518224808168",163582352,0,161152625,0,1719932,0,0,0,0,0,0,0,"/rgbdt_fusion/human_center_cloud2",665,278833140,1540909524,407580440,1540909525
