delivered_msgs,dropped_msgs,node_pub,node_sub,period_max_nsecs,period_max_secs,period_mean_nsecs,period_mean_secs,period_stddev_nsecs,period_stddev_secs,stamp_age_max_nsecs,stamp_age_max_secs,stamp_age_mean_nsecs,stamp_age_mean_secs,stamp_age_stddev_nsecs,stamp_age_stddev_secs,topic,traffic,window_start_nsecs,window_start_secs,window_stop_nsecs,window_stop_secs
707,0,"/play_1540914997769202961","/husky1/octomap_server",39421239,0,2826885,0,4687766,0,0,0,0,0,0,0,"/tf",153100,279981575,1540915042,284341698,1540915044
709,0,"/play_1540914993920966559","/husky2/octomap_server",38278108,0,2814577,0,5120519,0,0,0,0,0,0,0,"/tf2",155537,359338050,1540915042,362172328,1540915044
9,0,"/play_1540914993920966559","/husky2/octomap_server",213827671,0,133612384,0,60652764,0,29063646,288461,871188621,288460,87010182,0,"/rgbdt_fusion/velodyne_points_no_human2",1748748,655684118,1540915043,724577721,1540915044
7,0,"/play_1540914993920966559","/image_republisher_1540915002353178503",170747456,0,162915048,0,4368638,0,790845704,288460,769607548,288460,13279257,0,"/vision_tracking/rgb_image1/compressed",398080,352130570,1540915044,490866788,1540915045
7,0,"/play_1540914993920966559","/husky2/octomap_server",172603627,0,160858462,0,8916165,0,826955385,288460,805861766,288460,11547338,0,"/rgbdt_fusion/velodyne_points_no_human2",1361796,724577721,1540915044,853566385,1540915045
7,0,"/play_1540914993920966559","/image_republisher_1540915002353178503",171018408,0,163878917,0,4172229,0,786495761,288460,778293384,288460,9315915,0,"/vision_tracking/rgb_image1/compressed",396705,490866788,1540915045,633920855,1540915046
8,0,"/image_republisher_1540914999684871437","/record_1540915040994989425",162588567,0,155718819,0,5331630,0,0,0,0,0,0,0,"/vision_tracking/rgb_image",6064456,799811650,1540915045,889834063,1540915046
7,0,"/play_1540914993920966559","/husky2/octomap_server",173699114,0,163817301,0,8896113,0,828196247,288460,815899241,288460,10983491,0,"/rgbdt_fusion/velodyne_points_no_human2",1360212,853566385,1540915045,997341940,1540915046
9,0,"/play_1540914997769202961","/record_1540915040994989425",160990031,0,140257168,0,27115371,0,0,0,0,0,0,0,"/rgbdt_fusion/human_center_cloud2",855,118432435,1540915046,240478075,1540915047
9,0,"/play_1540914997769202961","/record_1540915040994989425",160862158,0,140260396,0,27030350,0,0,0,0,0,0,0,"/rgbdt_fusion/velodyne_points_no_human",1708972,118501140,1540915046,240577573,1540915047
9,0,"/play_1540914997769202961","/husky1/octomap_server",161215003,0,140449878,0,27192678,0,96020416,288446,2898075,288446,45513567,0,"/rgbdt_fusion/velodyne_points_no_human",1708972,118610432,1540915046,242204443,1540915047
8,0,"/husky1/octomap_server","/record_1540915040994989425",187071431,0,146185154,0,25977143,0,0,0,0,0,0,0,"/husky1/octomap_full",6781001,282787585,1540915046,306061000,1540915047
7,0,"/play_1540914993920966559","/image_republisher_1540915002353178503",168105331,0,162452712,0,2851753,0,789043278,288460,771530239,288460,10207551,0,"/vision_tracking/rgb_image1/compressed",396007,633920855,1540915046,763350986,1540915047
7,0,"/play_1540914997769202961","/image_republisher_1540914999684871437",161051270,0,154285897,0,4770097,0,979402130,288445,948406301,288445,15258097,0,"/vision_tracking/rgb_image/compressed",331060,883596771,1540915046,970544341,1540915047
7,0,"/image_republisher_1540914999684871437","/record_1540915040994989425",161128970,0,154200662,0,4380582,0,0,0,0,0,0,0,"/vision_tracking/rgb_image",5306399,889834063,1540915046,974698721,1540915047
7,0,"/play_1540914993920966559","/husky2/octomap_server",163955209,0,160666134,0,2389386,0,827414513,288460,813337793,288460,9951449,0,"/rgbdt_fusion/velodyne_points_no_human2",1357764,997341940,1540915046,127555465,1540915048
1946,0,"/play_1540914997769202961","/husky1/octomap_server",39355652,0,2060698,0,4356812,0,0,0,0,0,0,0,"/tf",365231,284341698,1540915044,292565365,1540915048
