delivered_msgs,dropped_msgs,node_pub,node_sub,period_max_nsecs,period_max_secs,period_mean_nsecs,period_mean_secs,period_stddev_nsecs,period_stddev_secs,stamp_age_max_nsecs,stamp_age_max_secs,stamp_age_mean_nsecs,stamp_age_mean_secs,stamp_age_stddev_nsecs,stamp_age_stddev_secs,topic,traffic,window_start_nsecs,window_start_secs,window_stop_nsecs,window_stop_secs
723,0,"/play_1540958993663713862","/husky1/octomap_server",10979997,0,2777106,0,4359369,0,0,0,0,0,0,0,"/tf",120378,982920060,1540959003,990595925,1540959005
796,0,"/play_1540958993663713862","/husky1/octomap_server",10490164,0,5041780,0,4910984,0,0,0,0,0,0,0,"/tf",81186,990595925,1540959005,999226737,1540959009
1588,0,"/play_1540958993663713862","/husky1/octomap_server",10474068,0,5040830,0,4825019,0,0,0,0,0,0,0,"/tf",161982,999226737,1540959009,999492042,1540959017
3,0,"/play_1540958993663713862","/image_republisher_1540958741767151170",136319783,15,648567914,7,487751869,7,431399684,7047699,378845927,7047698,457467025,1,"/vision_tracking/thermal_image/compressed",44483,225958790,1540959008,523069690,1540959023
3,0,"/image_republisher_1540958741767151170","/record_1540959002689217623",136007328,15,648356699,7,487650629,7,0,0,0,0,0,0,"/vision_tracking/thermal_image",990267,230497970,1540959008,527200297,1540959023
3,0,"/image_republisher_1540957507981966010","/record_1540959002689217623",138297657,15,649842995,7,488454662,7,0,0,0,0,0,0,"/vision_tracking/thermal_image",990267,230048292,1540959008,529683609,1540959023
3,0,"/play_1540958993663713862","/record_1540959002689217623",87031806,15,608422754,7,478609052,7,0,0,0,0,0,0,"/rgbdt_fusion/human_center_cloud2_thermal",429,468284716,1540959008,685122022,1540959023
3,0,"/play_1540958993663713862","/record_1540959002689217623",86876272,15,608548321,7,478327951,7,0,0,0,0,0,0,"/rgbdt_fusion/velodyne_points_no_human_thermal",560836,468241424,1540959008,685317708,1540959023
3,0,"/play_1540958993663713862","/husky1/octomap_server",88534254,15,609461717,7,479072538,7,643051953,7047699,584711977,7047698,487064353,1,"/rgbdt_fusion/velodyne_points_no_human_thermal",560836,468035583,1540959008,686936207,1540959023
3,0,"/husky1/octomap_server","/record_1540959002689217623",122628896,15,608107942,7,514520954,7,0,0,0,0,0,0,"/husky1/octomap_full",1953916,600332691,1540959008,816540279,1540959023
6,0,"/play_1540958993663713862","/image_republisher_1540958741767151170",171312103,0,169166496,0,3697815,0,340975291,7047696,326226507,7047696,13901523,0,"/vision_tracking/thermal_image/compressed",107533,523069690,1540959023,550451283,1540959024
6,0,"/image_republisher_1540957507981966010","/record_1540959002689217623",171827555,0,168915250,0,3450946,0,0,0,0,0,0,0,"/vision_tracking/thermal_image",1980534,529683609,1540959023,552463179,1540959024
6,0,"/image_republisher_1540958741767151170","/record_1540959002689217623",171946028,0,168933934,0,4053292,0,0,0,0,0,0,0,"/vision_tracking/thermal_image",1980534,527200297,1540959023,552952601,1540959024
7,0,"/play_1540958993663713862","/record_1540959002689217623",192074232,0,164620961,0,20113148,0,0,0,0,0,0,0,"/rgbdt_fusion/human_center_cloud2_thermal",969,685122022,1540959023,802884780,1540959024
